xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:field=Y_CCA_scores, cpt:nrow=41, cpt:ncol=3, cpt:row=T, cpt:col=index
	1	2	3
1980-06-01/09-30	.064421	.344722	-.321746
1981-06-01/09-30	.099355	.018704	-.189744
1982-06-01/09-30	-.230129	-.242421	.138169
1983-06-01/09-30	.022894	-.166845	-.121086
1984-06-01/09-30	-.099992	-.197662	.411761
1985-06-01/09-30	-.202261	-.105368	-.119604
1986-06-01/09-30	-.182905	-.092217	-.075111
1987-06-01/09-30	-.221818	-.131947	-.281962
1988-06-01/09-30	.204644	-.122348	-.218139
1989-06-01/09-30	.028698	-.243403	.177727
1990-06-01/09-30	-.223346	.078439	-.195485
1991-06-01/09-30	-.138322	-.131832	-.269878
1992-06-01/09-30	.021868	-.194528	.048641
1993-06-01/09-30	-.087560	.021812	-.078326
1994-06-01/09-30	-.206654	.057289	-.019154
1995-06-01/09-30	.063846	-.113386	-.030804
1996-06-01/09-30	.177361	-.223516	-.134655
1997-06-01/09-30	.001874	-.065637	.040742
1998-06-01/09-30	.245449	-.162547	-.047616
1999-06-01/09-30	-.186196	-.021795	.029799
2000-06-01/09-30	.022195	-.062403	-.092805
2001-06-01/09-30	-.051183	.090805	.160643
2002-06-01/09-30	-.121540	.153419	.200810
2003-06-01/09-30	.093081	.194879	.218886
2004-06-01/09-30	.039742	.068305	.140463
2005-06-01/09-30	.092106	.308410	-.011220
2006-06-01/09-30	.045020	.179537	.204927
2007-06-01/09-30	.264465	-.038399	.004535
2008-06-01/09-30	.002811	.192818	.073137
2009-06-01/09-30	-.134940	-.089225	.102543
2010-06-01/09-30	.457887	.021849	.181236
2011-06-01/09-30	.056936	.326268	-.102273
2012-06-01/09-30	-.109515	.129881	.018918
2013-06-01/09-30	.016187	.140516	-.112521
2014-06-01/09-30	-.025930	-.035712	.101871
2015-06-01/09-30	-.045992	-.082993	.167542
2016-06-01/09-30	-.012599	.091379	.021497
2017-06-01/09-30	.009146	.054848	.046110
2018-06-01/09-30	-.152734	.215785	.124089
2019-06-01/09-30	.049931	-.015078	-.135822
2020-06-01/09-30	.353699	-.150403	-.056097
