xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:field=X_CCA_scores, cpt:nrow=41, cpt:ncol=3, cpt:row=T, cpt:col=index
	1	2	3
1980-06-01/09-30	-.100857	.229872	-.220254
1981-06-01/09-30	.099741	.042795	-.211640
1982-06-01/09-30	-.081037	-.158048	-.246906
1983-06-01/09-30	.033617	-.237438	-.128734
1984-06-01/09-30	-.079234	-.035855	.258212
1985-06-01/09-30	.074691	-.251886	.297178
1986-06-01/09-30	-.147760	-.240714	-.220423
1987-06-01/09-30	-.136451	.002047	-.148836
1988-06-01/09-30	.102223	-.112663	.014342
1989-06-01/09-30	-.091095	-.146104	.260625
1990-06-01/09-30	.032905	-.110427	-.136298
1991-06-01/09-30	-.063541	.126066	-.094188
1992-06-01/09-30	-.041990	-.253884	-.063593
1993-06-01/09-30	-.160338	.074956	-.284389
1994-06-01/09-30	-.160423	.329022	.041960
1995-06-01/09-30	.102561	-.022472	-.096539
1996-06-01/09-30	.014494	-.104776	-.022558
1997-06-01/09-30	-.306804	-.204506	-.063066
1998-06-01/09-30	.418402	-.151119	-.026422
1999-06-01/09-30	.015223	.038609	.338872
2000-06-01/09-30	-.165798	.024267	.443650
2001-06-01/09-30	.021378	.069272	.055161
2002-06-01/09-30	-.124370	-.013492	-.004804
2003-06-01/09-30	.170062	-.027448	-.017404
2004-06-01/09-30	-.084019	-.075348	-.068977
2005-06-01/09-30	.096317	.119642	.022221
2006-06-01/09-30	-.014391	.066719	.129892
2007-06-01/09-30	.293110	.158972	-.081421
2008-06-01/09-30	.126115	.142401	-.081821
2009-06-01/09-30	-.105734	-.025097	-.083187
2010-06-01/09-30	.361975	.074154	.028797
2011-06-01/09-30	.126179	-.019828	.135226
2012-06-01/09-30	-.242453	-.136301	.115515
2013-06-01/09-30	-.137592	.041049	.093505
2014-06-01/09-30	-.089790	-.112942	-.018353
2015-06-01/09-30	.000845	.208496	-.010047
2016-06-01/09-30	.088574	-.040883	.035123
2017-06-01/09-30	-.171746	.262725	-.038010
2018-06-01/09-30	.007425	.331166	.047994
2019-06-01/09-30	.019106	.261656	.051455
2020-06-01/09-30	.300476	-.122655	-.001859
