xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:field=X scores, cpt:nrow=41, cpt:ncol=5, cpt:row=T, cpt:col=index
	1	2	3	4	5
1980-06-01/09-30	-16.433205	26.005790	3.178421	-5.816717	-1.902408
1981-06-01/09-30	.827447	13.020241	3.853338	5.851626	-7.445354
1982-06-01/09-30	-24.455233	2.303425	-2.361069	5.347376	-8.957079
1983-06-01/09-30	-6.173600	-4.568214	-6.602235	1.195839	-9.421088
1984-06-01/09-30	3.306900	-13.013606	2.858519	-9.330820	2.944448
1985-06-01/09-30	18.714502	-24.082276	-1.256373	-8.627946	-3.993580
1986-06-01/09-30	-31.611708	-4.194047	-7.371869	4.683964	-6.941011
1987-06-01/09-30	-20.307525	8.547591	-8.660644	-3.867682	1.210848
1988-06-01/09-30	9.590142	-.914853	9.407678	-6.736021	-15.136249
1989-06-01/09-30	-1.784795	-22.394304	5.536350	-2.725066	.603530
1990-06-01/09-30	-7.379946	-2.500986	4.763285	10.268687	-7.681419
1991-06-01/09-30	-9.925833	9.828864	3.787474	1.910772	1.249622
1992-06-01/09-30	-13.001310	-15.493691	-10.711751	10.300929	.855760
1993-06-01/09-30	-29.371424	16.971230	-4.450787	1.375817	-.451448
1994-06-01/09-30	-11.556389	13.466928	15.831598	-3.143571	5.523729
1995-06-01/09-30	6.236449	4.188390	-.640790	3.611476	-4.139994
1996-06-01/09-30	-1.833682	-4.734537	-.369324	1.928226	-3.883734
1997-06-01/09-30	-40.788273	-10.020698	-5.111247	-2.779469	-1.921742
1998-06-01/09-30	45.582817	-2.719334	-19.711251	5.444465	.207616
1999-06-01/09-30	17.256265	-14.123015	12.118512	-5.989773	2.433809
2000-06-01/09-30	1.522386	-23.374614	11.082447	-6.954850	9.409622
2001-06-01/09-30	3.264075	-2.720638	12.492678	6.540040	-.642700
2002-06-01/09-30	-15.343242	-2.620781	3.536205	.581583	-.162855
2003-06-01/09-30	20.049409	4.438494	-8.267182	-4.120755	-1.798025
2004-06-01/09-30	-14.232139	.548583	2.438717	-2.842458	-6.558822
2005-06-01/09-30	10.922957	-1.310408	7.045943	14.044503	5.760091
2006-06-01/09-30	1.162802	-8.448692	19.696692	8.034532	-1.261220
2007-06-01/09-30	31.676206	15.543137	3.847720	3.551498	-3.443854
2008-06-01/09-30	14.285873	12.695191	-6.675728	1.947017	5.210089
2009-06-01/09-30	-15.382373	3.060895	-3.947701	-2.241454	-.338004
2010-06-01/09-30	44.664477	11.052795	2.609157	-5.809437	-7.946077
2011-06-01/09-30	20.175502	-6.586403	.783835	-.517730	.731780
2012-06-01/09-30	-23.203640	-15.834153	-8.132682	-3.302353	7.353443
2013-06-01/09-30	-8.557307	-2.302964	-5.251012	-6.317543	7.884981
2014-06-01/09-30	-12.163023	-6.829933	-8.881867	1.144597	3.108741
2015-06-01/09-30	4.291085	13.555635	2.705590	-4.557337	3.581097
2016-06-01/09-30	15.847869	6.409348	-12.550328	-17.143388	-2.453974
2017-06-01/09-30	-15.889150	14.206968	3.083256	-2.851787	8.709756
2018-06-01/09-30	10.080194	15.482706	2.157898	-2.944015	11.293187
2019-06-01/09-30	8.895053	5.307428	-2.886973	9.075753	17.652757
2020-06-01/09-30	31.041387	-7.845494	-8.974502	11.781472	.755730
